ID,Event,Date,Time,DayOfWeek,IsWeekend,Month,Status,CreatedAt
716,New,2025-12-26,21:00:00,4,0,12,confirmed,2025-12-18T21:00:00
726,AI Workshop,2025-12-26,21:00:00,4,0,12,confirmed,2025-12-16T21:00:00
987,AI Workshop,2025-12-26,21:00:00,4,0,12,confirmed,2025-12-23T21:00:00
483,AI Workshop,2025-12-26,18:00:00,4,0,12,confirmed,2025-12-21T18:00:00
495,AI Workshop,2025-12-26,18:00:00,4,0,12,confirmed,2025-12-15T18:00:00
715,New,2025-12-26,18:00:00,4,0,12,cancelled,2025-12-13T18:00:00
966,New,2025-12-26,18:00:00,4,0,12,confirmed,2025-12-25T18:00:00
979,AI Workshop,2025-12-26,18:00:00,4,0,12,confirmed,2025-12-25T18:00:00
240,AI Workshop,2025-12-26,16:00:00,4,0,12,confirmed,2025-12-12T16:00:00
473,AI Workshop,2025-12-26,16:00:00,4,0,12,confirmed,2025-12-19T16:00:00
494,AI Workshop,2025-12-26,16:00:00,4,0,12,confirmed,2025-12-23T16:00:00
714,New,2025-12-26,16:00:00,4,0,12,confirmed,2025-12-16T16:00:00
725,AI Workshop,2025-12-26,16:00:00,4,0,12,confirmed,2025-12-15T16:00:00
736,AI Workshop,2025-12-26,16:00:00,4,0,12,confirmed,2025-12-24T16:00:00
746,AI Workshop,2025-12-26,16:00:00,4,0,12,confirmed,2025-12-23T16:00:00
965,New,2025-12-26,16:00:00,4,0,12,confirmed,2025-12-13T16:00:00
978,AI Workshop,2025-12-26,16:00:00,4,0,12,confirmed,2025-12-18T16:00:00
464,New,2025-12-26,12:00:00,4,0,12,confirmed,2025-12-21T12:00:00
472,AI Workshop,2025-12-26,12:00:00,4,0,12,confirmed,2025-12-16T12:00:00
482,AI Workshop,2025-12-26,12:00:00,4,0,12,confirmed,2025-12-13T12:00:00
493,AI Workshop,2025-12-26,12:00:00,4,0,12,cancelled,2025-12-12T12:00:00
713,New,2025-12-26,12:00:00,4,0,12,confirmed,2025-12-19T12:00:00
724,AI Workshop,2025-12-26,12:00:00,4,0,12,confirmed,2025-12-13T12:00:00
735,AI Workshop,2025-12-26,12:00:00,4,0,12,confirmed,2025-12-12T12:00:00
745,AI Workshop,2025-12-26,12:00:00,4,0,12,confirmed,2025-12-21T12:00:00
977,AI Workshop,2025-12-26,12:00:00,4,0,12,confirmed,2025-12-19T12:00:00
986,AI Workshop,2025-12-26,12:00:00,4,0,12,confirmed,2025-12-17T12:00:00
995,AI Workshop,2025-12-26,12:00:00,4,0,12,confirmed,2025-12-19T12:00:00
492,AI Workshop,2025-12-26,06:00:00,4,0,12,confirmed,2025-12-16T06:00:00
744,AI Workshop,2025-12-26,06:00:00,4,0,12,confirmed,2025-12-21T06:00:00
976,AI Workshop,2025-12-26,06:00:00,4,0,12,confirmed,2025-12-24T06:00:00
471,AI Workshop,2025-12-25,19:00:00,3,0,12,cancelled,2025-12-24T19:00:00
481,AI Workshop,2025-12-25,19:00:00,3,0,12,confirmed,2025-12-23T19:00:00
491,AI Workshop,2025-12-25,19:00:00,3,0,12,confirmed,2025-12-23T19:00:00
734,AI Workshop,2025-12-25,19:00:00,3,0,12,confirmed,2025-12-14T19:00:00
964,New,2025-12-25,19:00:00,3,0,12,confirmed,2025-12-20T19:00:00
975,AI Workshop,2025-12-25,19:00:00,3,0,12,confirmed,2025-12-15T19:00:00
245,AI Workshop,2025-12-25,15:00:00,3,0,12,confirmed,2025-12-12T15:00:00
463,New,2025-12-25,15:00:00,3,0,12,confirmed,2025-12-21T15:00:00
470,AI Workshop,2025-12-25,15:00:00,3,0,12,confirmed,2025-12-20T15:00:00
480,AI Workshop,2025-12-25,15:00:00,3,0,12,confirmed,2025-12-14T15:00:00
490,AI Workshop,2025-12-25,15:00:00,3,0,12,cancelled,2025-12-14T15:00:00
712,New,2025-12-25,15:00:00,3,0,12,confirmed,2025-12-22T15:00:00
723,AI Workshop,2025-12-25,15:00:00,3,0,12,confirmed,2025-12-22T15:00:00
733,AI Workshop,2025-12-25,15:00:00,3,0,12,confirmed,2025-12-14T15:00:00
743,AI Workshop,2025-12-25,15:00:00,3,0,12,confirmed,2025-12-17T15:00:00
963,New,2025-12-25,15:00:00,3,0,12,confirmed,2025-12-19T15:00:00
974,AI Workshop,2025-12-25,15:00:00,3,0,12,confirmed,2025-12-12T15:00:00
985,AI Workshop,2025-12-25,15:00:00,3,0,12,confirmed,2025-12-12T15:00:00
994,AI Workshop,2025-12-25,15:00:00,3,0,12,confirmed,2025-12-24T15:00:00
235,New,2025-12-25,11:00:00,3,0,12,cancelled,2025-12-23T11:00:00
238,AI Workshop,2025-12-25,11:00:00,3,0,12,confirmed,2025-12-12T11:00:00
239,AI Workshop,2025-12-25,11:00:00,3,0,12,confirmed,2025-12-15T11:00:00
244,AI Workshop,2025-12-25,11:00:00,3,0,12,confirmed,2025-12-20T11:00:00
462,New,2025-12-25,11:00:00,3,0,12,confirmed,2025-12-21T11:00:00
469,AI Workshop,2025-12-25,11:00:00,3,0,12,confirmed,2025-12-24T11:00:00
479,AI Workshop,2025-12-25,11:00:00,3,0,12,confirmed,2025-12-18T11:00:00
